category,top_length,latest_length,top_flesch,latest_flesch,top_fog,latest_fog,top_coleman_liau,latest_coleman_liau,top_dale_chall,latest_dale_chall
YouTube_news,14.0,42.875,95.33500000000001,48.04875,5.6,18.32125,2.16,6.6025,6.07,8.175
YouTube_music,10.333333333333334,34.5,86.37,49.15,4.133333333333334,17.775,7.753333333333333,13.35,8.39,10.895
YouTube_news,30.4,32.857142857142854,60.924,65.92285714285714,15.262,14.65,7.822,5.452857142857143,10.47,8.52142857142857
YouTube_gaming,15.5,11.5,89.58500000000001,76.72500000000001,9.329999999999998,9.675,8.25,12.1,11.665,11.415
YouTube_music,7.0,9.0,98.21,88.66222222222221,2.8000000000000003,3.5999999999999996,-1.6666666666666667,0.46222222222222226,7.446666666666666,8.055555555555555
YouTube_news,34.0,15.2,53.89,54.358000000000004,14.78,12.336000000000002,6.34,9.35,8.57,11.498000000000001
YouTube_gaming,55.0,21.76923076923077,49.49,74.11153846153846,24.18,11.096923076923078,5.76,6.0530769230769215,10.1,10.11153846153846
YouTube_news,70.8,50.0,11.455999999999998,37.17555555555555,31.9,23.053333333333338,9.075999999999999,8.693888888888889,11.574,10.542222222222222
YouTube_music,18.0,17.333333333333332,70.13,87.72333333333334,8.74,6.933333333333333,10.315000000000001,9.74,9.024999999999999,10.4
YouTube_howto,27.0,6.0,73.685,90.77,11.465,2.4,8.684999999999999,7.18,13.86,11.83
YouTube_music,15.75,10.0,82.9875,78.245,7.8225,5.819999999999999,9.879999999999999,8.620000000000001,7.415,11.07
YouTube_news,133.0,37.0,-46.61,45.764,55.31,18.3275,9.54,8.4445,13.2,9.276999999999997
YouTube_news,11.5,14.666666666666666,97.875,104.53000000000002,4.6,5.866666666666667,3.5050000000000003,3.7999999999999994,4.365,8.156666666666666
YouTube_gaming,14.0,27.166666666666668,74.19,62.23166666666666,5.6,13.231666666666667,9.45,4.15,8.84,9.1275
YouTube_music,2.0,4.5,35.61,75.37,0.8,1.7999999999999998,10.0,7.470000000000001,11.63,5.99
YouTube_news,40.0,19.666666666666668,39.334999999999994,65.61666666666667,19.77,11.423333333333332,11.622499999999999,8.216666666666667,12.585,10.296666666666667
YouTube_gaming,4.5,10.2,41.53,92.426,5.8,4.971,18.285,4.7589999999999995,18.465,11.498000000000001
YouTube_news,33.0,18.666666666666668,76.05000000000001,69.45,13.2,10.68,4.135,7.316666666666666,7.64,8.93
YouTube_howto,13.5,26.4,51.43,64.98400000000001,10.987499999999999,13.178,12.0975,8.67,10.285,9.186
YouTube_gaming,8.333333333333334,5.5,65.84,112.42500000000001,6.666666666666667,2.2,7.696666666666665,0.8999999999999999,8.403333333333334,7.01
YouTube_gaming,27.666666666666668,11.25,65.95666666666666,66.405,15.906666666666666,10.0,6.986666666666667,8.8275,11.670000000000002,9.7425
YouTube_gaming,3.0,15.25,93.81,86.66624999999999,1.2,6.30875,-0.46,3.3175,9.05,8.765
YouTube_news,36.0,14.0,60.32,86.88,15.51,5.6,7.32,4.0600000000000005,8.05,8.935
